"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"207825",":stat_player_game_def","","","","","0","0","0","0","200801200nwe","200801200nwe_38","0","Larry Izzo","I/IzzoLa00","0","0.0","0","1","0","1","NWE","2007",,,
"207826",":stat_player_game_def","","","","","0","0","0","0","200801050pit","200801050pit_40","0","Anthony Madison","M/MadiAn20","0","0.0","0","1","0","1","PIT","2007",,,
"207827",":stat_player_game_def","","","","","0","0","0","0","200801200nwe","200801200nwe_39","0","Pierre Woods","W/WoodPi20","0","0.0","0","1","0","1","NWE","2007",,,
"207830",":stat_player_game_def","","","","","0","0","0","0","200801050pit","200801050pit_41","0","Bryant McFadden","M/McFaBr20","0","0.0","0","1","0","1","PIT","2007",,,
"207848",":stat_player_game_def","1","0","0","0","0","0","0","0","200710140chi","200710140chi_1","1","Ben Leber","L/LebeBe20","1","1.0","0","3","2","3","MIN","2007",,,
"207849",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160rav","200709160rav_1","0","Wallace Wright","W/WrigWa00","0","0.0","0","2","0","2","NYJ","2007",,,
"207850",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160tam","200709160tam_1","0","Aaron Stecker","S/StecAa00","0","0.0","0","2","0","2","NOR","2007",,,
"207851",":stat_player_game_def","0","0","0","0","1","0","0","0","200710210dal","200710210dal_1","0","Kenechi Udeze","U/UdezKe20","1","1.0","0","2","0","2","MIN","2007",,,
"207852",":stat_player_game_def","1","10","0","10","0","0","0","0","200709090dal","200709090dal_1","1","Gibril Wilson","W/WilsGi20","0","0.0","0","8","1","8","NYG","2007",,,
"207853",":stat_player_game_def","1","16","0","16","0","0","0","0","200709160crd","200709160crd_1","1","Lofa Tatupu","T/TatuLo99","0","0.0","1","12","0","11","SEA","2007",,,
