"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"263112",":stat_player_game_kick","2","2","200309140ram","200309140ram_3","Jeff Wilkins","W/wilkijef01","0","","0","","STL","3","3","2003",,,
"263115",":stat_player_game_kick","","","200309040was","200309040was_4","Bryan Barker","B/BarkBr20","3","39","92","30.7","WAS","","","2003",,,
"263116",":stat_player_game_kick","","","200309140ram","200309140ram_4","Sean Landeta","L/LandSe20","4","52","165","41.3","STL","","","2003",,,
"263145",":stat_player_game_kick","","","200309070buf","200309070buf_1","Ken Walter","W/WaltKe20","5","50","208","41.6","NWE","","","2003",,,
"263146",":stat_player_game_kick","2","1","200309210det","200309210det_1","Aaron Elling","E/ellinaar01","0","","0","","MIN","2","2","2003",,,
"263147",":stat_player_game_kick","1","1","200309070buf","200309070buf_2","Rian Lindell","L/linderia01","0","","0","","BUF","4","4","2003",,,
"263149",":stat_player_game_kick","","","200309210det","200309210det_2","Eddie Johnson","J/JohnEd22","6","55","286","47.7","MIN","","","2003",,,
"263151",":stat_player_game_kick","2","2","200309210det","200309210det_3","Jason Hanson","H/hansojas01","0","","0","","DET","1","1","2003",,,
"263152",":stat_player_game_kick","","","200309070buf","200309070buf_3","Brian Moorman","M/MoorBr24","4","71","226","56.5","BUF","","","2003",,,
"263154",":stat_player_game_kick","1","1","200309210oti","200309210oti_1","John Carney","C/carnejoh01","0","","0","","NOR","1","1","2003",,,
"263155",":stat_player_game_kick","","","200309210det","200309210det_4","John Jett","J/JettJo21","5","51","210","42.0","DET","","","2003",,,
"263158",":stat_player_game_kick","","","200309210oti","200309210oti_2","Mitch Berger","B/BergMi20","3","52","139","46.3","NOR","","","2003",,,
"263163",":stat_player_game_kick","2","2","200309210oti","200309210oti_3","Gary Anderson","A/andergar02","0","","0","","TEN","3","3","2003",,,
"263167",":stat_player_game_kick","","","200309210oti","200309210oti_4","Craig Hentrich","H/hentrcra01","1","41","41","41.0","TEN","","","2003",,,
"263176",":stat_player_game_kick","4","3","200309210nwe","200309210nwe_1","Doug Brien","B/briendou01","0","","0","","NYJ","1","1","2003",,,
"263179",":stat_player_game_kick","1","1","200309080phi","200309080phi_1","Martin Gramatica","G/gramamar01","0","","0","","TAM","2","2","2003",,,
"263180",":stat_player_game_kick","","","200309210nwe","200309210nwe_2","Dan Stryzinski","S/StryDa20","5","55","207","41.4","NYJ","","","2003",,,
"263182",":stat_player_game_kick","","","200309080phi","200309080phi_2","Tom Tupa","T/TupaTo20","6","59","270","45.0","TAM","","","2003",,,
"263183",":stat_player_game_kick","3","3","200309210nwe","200309210nwe_3","Adam Vinatieri","V/vinatada01","0","","0","","NWE","2","2","2003",,,
"263184",":stat_player_game_kick","","","200309080phi","200309080phi_3","Dirk Johnson","J/JohnDi20","7","50","267","38.1","PHI","","","2003",,,
"263186",":stat_player_game_kick","","","200309210nwe","200309210nwe_4","Ken Walter","W/WaltKe20","6","51","252","42.0","NWE","","","2003",,,
"263199",":stat_player_game_kick","1","1","200309140phi","200309140phi_1","Adam Vinatieri","V/vinatada01","0","","0","","NWE","4","4","2003",,,
"263200",":stat_player_game_kick","","","200309140phi","200309140phi_2","Ken Walter","W/WaltKe20","10","52","389","38.9","NWE","","","2003",,,
"263201",":stat_player_game_kick","1","1","200309140phi","200309140phi_3","David Akers","A/akersdav01","0","","0","","PHI","1","1","2003",,,
"263202",":stat_player_game_kick","","","200309140phi","200309140phi_4","Dirk Johnson","J/JohnDi20","8","56","344","43.0","PHI","","","2003",,,
"263547",":stat_player_game_kick","3","2","200310050car","200310050car_1","John Carney","C/carnejoh01","0","","0","","NOR","1","1","2003",,,
